고유번호,하천코드,공간정보코드,유일식별자코드,일련번호,하천명,비고,경도,위도
49,1025540,B02,1025540B020000001007,1007,도림천1지류, ,126.9107082,37.4773204
3,1025180,B02,1025180B020000000009,9,도봉천(1), ,127.0393218,37.6784672
9,1025330,B02,1025330B020000010001,10001,사당천, ,126.9835919,37.4805209
25,1025340,B02,1025340B020000000003,3,봉원천, ,126.9318242,37.5485365
28,1025271,B02,1025271B020000001001,1001,청계천지방2급, ,127.003531,37.5700416
32,1024910,B02,1024910B020000000002,2,성내천, ,127.130109,37.507528
34,1025500,B02,1025500B020000010001,10001,목감천, ,126.8573173,37.4846199
35,1025230,B02,1025230B020000000002,2,대동천, ,127.0084458,37.6457903
36,1025570,B02,1025570B020000000001,1,향동천, ,126.8776702,37.5880433
37,1025580,B02,1025580B020000010001,10001,창릉천, ,126.9210098,37.6562688
40,1025540,B02,1025540B020000001006,1006,도림천, ,126.9145275,37.4883044
41,1024880,B02,1024880B020000000001,1,고덕천, ,127.1671158,37.5576005
43,1025350,B02,1025350B020000000001,1,홍제천, ,126.9333721,37.5838444
44,1025080,B02,1025080B020000000001,1,여의천, ,127.050255,37.4565072
21,1025290,B02,1025290B020000001007,1007,정릉천, ,127.0005494,37.6154459
46,1025290,B02,1025290B020000001006,1006,정릉천, ,127.0168867,37.5978586
47,1025220,B02,1025220B020000000008,8,우이천, ,127.0415286,37.6389865
48,1015270,B02,1015270B020000001002,1002,청계천1급, ,127.0401291,37.5642622
2,1025060,B02,1025060B020000000001,1,양재천, ,127.0411353,37.4764596
5,1025560,B02,1025560B020000001002,1002,대방천1지류, ,126.93251,37.4972946
6,1025490,B02,1025490B020000001002,1002,시흥천1지류, ,126.9168024,37.4531315
7,1025280,B02,1025280B020000001005,1005,성북천, ,127.0108246,37.5828997
8,1005380,B02,1005380B020000001004,1004,안양천, ,126.884959,37.4948927
10,1025200,B02,1025200B020000000007,7,당현천, ,127.0743631,37.6586824
11,1005090,B02,1005090B020000001007,1007,중랑천, ,127.0526376,37.6191564
12,1025050,B02,1025050B020000000001,1,세곡천, ,127.097764,37.4571126
13,1025260,B02,1025260B020000001003,1003,면목천, ,127.0901964,37.5888006
15,1025210,B02,1025210B020000000001,1,묵동천(1), ,127.0859445,37.6229897
22,1025310,B02,1025310B020000001004,1004,전농천, ,127.0534877,37.5618096
18,1025560,B02,1025560B020000001001,1001,대방천, ,126.9209875,37.5029699
23,1025370,B02,1025370B170000010002,10002,녹번천지류, ,126.9301418,37.613773
24,1025370,B02,1025370B170000010001,10001,녹번천본류, ,126.9307826,37.6050025
26,1025250,B02,1025250B020000000005,5,화계천, ,127.0237755,37.6318072
1,1025490,B02,1025490B020000001003,1003,시흥천, ,126.9087634,37.4523084
4,1025540,B02,1025540B020000001008,1008,도림천2지류, ,126.9316548,37.4662101
16,1000010,B02,1000010B020000000001,1,한강, ,126.9843826,37.561037
17,1025360,B02,1025360B020000000001,1,불광천, ,126.9124492,37.5918644
19,1024930,B02,1024930B020000000001,1,탄천, ,127.0974383,37.4903345
20,1025320,B02,1025320B020000010001,10001,반포천, ,127.0000248,37.5021326
30,1025560,B02,1025560B020000001003,1003,대방천2지류, ,126.9396244,37.500242
14,1025640,B02,1025640B020000010001,10001,굴포천, ,126.7817848,37.5547263
27,1025180,B02,1025180B020000000010,10,도봉천(2), ,127.0394609,37.6841514
29,1025240,B02,1025240B020000000004,4,가오천, ,127.0163678,37.6410524
31,1025300,B02,1025300B020000010001,10001,월곡천, ,127.0260793,37.6113359
33,1024900,B02,1024900B020000000001,1,망월천, ,127.1716692,37.5684458
38,1025210,B02,1025210B020000000002,2,묵동천(2), ,127.0948077,37.6164873
39,1025530,B02,1025530B020000010001,10001,오류천, ,126.8481168,37.4979849
42,1025550,B02,1025550B020000001002,1002,봉천천, ,126.9394854,37.4793596
45,1025190,B02,1025190B020000000006,6,방학천, ,127.0357913,37.6613537
